prices,market_caps,total_volumes,date,year
32.3777,31955227311.01955,3692974457.242997,2021-04-24 00:00:00,2021
29.1385,29164117673.324932,1790187521.1027157,2021-04-25 00:00:00,2021
29.7707,29386423738.55804,1426820530.317965,2021-04-26 00:00:00,2021
33.4605,32971528339.239906,2073188240.1405542,2021-04-27 00:00:00,2021
34.5386,34085016694.010246,1707353296.040809,2021-04-28 00:00:00,2021
33.9929,33465362480.344566,1727083451.9411442,2021-04-29 00:00:00,2021
35.7817,35125134676.12503,1671642385.8837767,2021-04-30 00:00:00,2021
36.5558,36161115650.50087,2053574634.1266975,2021-05-01 00:00:00,2021
36.8955,36487497552.831894,1431056978.6740394,2021-05-02 00:00:00,2021
36.6286,36175071088.34755,1303233017.6899304,2021-05-03 00:00:00,2021
37.3109,36985789925.45359,1645143224.0203195,2021-05-04 00:00:00,2021
34.6618,34707954650.18579,2295521130.5770683,2021-05-05 00:00:00,2021
40.5685,40073630954.333496,2902362969.2338347,2021-05-06 00:00:00,2021
41.5152,41263884488.423386,3591760181.6557684,2021-05-07 00:00:00,2021
39.9296,39477322692.65792,2614452242.387992,2021-05-08 00:00:00,2021
39.6446,39197018807.0192,1539872559.5545456,2021-05-09 00:00:00,2021
40.3051,39960281498.6593,1960812614.7285278,2021-05-10 00:00:00,2021
36.6976,36380576367.92715,2738737908.933777,2021-05-11 00:00:00,2021
38.6292,38213129449.26634,1978072269.6659775,2021-05-12 00:00:00,2021
35.3663,36142903315.04381,3297743471.4965587,2021-05-13 00:00:00,2021
40.1045,39682065176.0802,6028561379.2491,2021-05-14 00:00:00,2021
47.3324,46663358358.632095,4389158726.270394,2021-05-15 00:00:00,2021
43.19,42873126463.91633,5670783483.435763,2021-05-16 00:00:00,2021
42.4956,41909567642.53158,3512522788.0849147,2021-05-17 00:00:00,2021
38.4666,38675535803.375725,3591393624.0346236,2021-05-18 00:00:00,2021
40.7845,40700856754.28537,2964614890.0023675,2021-05-19 00:00:00,2021
25.5474,26212334807.34307,7440268038.0967455,2021-05-20 00:00:00,2021
28.9677,28603677243.810192,4887264993.644384,2021-05-21 00:00:00,2021
23.8869,23855622508.168064,4537200355.067695,2021-05-22 00:00:00,2021
21.9864,21860219890.87334,3027159412.6211486,2021-05-23 00:00:00,2021
18.0556,17830097290.168854,4240565324.877562,2021-05-24 00:00:00,2021
23.0683,22978156612.954174,3294658515.605996,2021-05-25 00:00:00,2021
21.997700000000002,21933881526.44776,2593578225.083468,2021-05-26 00:00:00,2021
24.6636,24531339737.5942,2295932465.490305,2021-05-27 00:00:00,2021
23.994,24040296853.950665,1953660434.2199876,2021-05-28 00:00:00,2021
21.4643,21392351948.632805,3163705196.799271,2021-05-29 00:00:00,2021
19.9182,20036900253.630054,1639713144.1522937,2021-05-30 00:00:00,2021
20.4281,20344660576.923485,1386880188.949725,2021-05-31 00:00:00,2021
23.3281,23254070863.818947,1916499739.7321558,2021-06-01 00:00:00,2021
22.9025,22899347242.905197,1555014124.7382228,2021-06-02 00:00:00,2021
26.1673,26126479643.786804,2139089062.7504544,2021-06-03 00:00:00,2021
27.2349,27239991190.48918,2059836125.1783895,2021-06-04 00:00:00,2021
25.1006,25084953695.39406,1952268571.332295,2021-06-05 00:00:00,2021
23.8156,23680247755.592136,1415753256.4326484,2021-06-06 00:00:00,2021
24.1459,24156716111.00127,843204626.1208866,2021-06-07 00:00:00,2021
21.3974,21605113644.382584,1280241352.385666,2021-06-08 00:00:00,2021
21.8652,21896291632.897587,1698751463.5288625,2021-06-09 00:00:00,2021
23.1966,23303937957.99968,1452158373.0871491,2021-06-10 00:00:00,2021
22.68,22853431521.801174,1437709901.7599847,2021-06-11 00:00:00,2021
21.0565,21108781102.469795,981770548.2225292,2021-06-12 00:00:00,2021
20.8472,21002014902.98868,962136083.1628792,2021-06-13 00:00:00,2021
22.089,22042757096.994293,802526585.392608,2021-06-14 00:00:00,2021
25.935,26018722804.42594,2102058923.7809913,2021-06-15 00:00:00,2021
24.1198,24229295867.459297,1499821201.2995617,2021-06-16 00:00:00,2021
22.8345,22887778579.919186,1132504108.432292,2021-06-17 00:00:00,2021
22.5543,22454000728.776775,830343796.1260432,2021-06-18 00:00:00,2021
21.4553,21545349132.29741,861812291.6179062,2021-06-19 00:00:00,2021
20.3823,20468951490.828773,624793482.9809674,2021-06-20 00:00:00,2021
20.7448,20817405498.417953,889911121.8767681,2021-06-21 00:00:00,2021
15.7815,15982853048.931551,1604155701.6824002,2021-06-22 00:00:00,2021
14.6278,14637302133.758293,2207447798.607186,2021-06-23 00:00:00,2021
15.8614,15964610514.042696,1395173769.7441962,2021-06-24 00:00:00,2021
16.2624,16337122561.43929,891444663.6233742,2021-06-25 00:00:00,2021
14.7476,14854414724.676348,863464620.4382737,2021-06-26 00:00:00,2021
14.4193,14370536477.857649,805461997.5952917,2021-06-27 00:00:00,2021
14.9761,15038775166.061934,616294782.9453921,2021-06-28 00:00:00,2021
15.7759,15872501595.64575,755671286.8360317,2021-06-29 00:00:00,2021
16.279,16384626754.387346,935736808.1989927,2021-06-30 00:00:00,2021
16.412,16512919235.466106,858783153.1010189,2021-07-01 00:00:00,2021
15.2812,15380656777.288427,585331700.7122605,2021-07-02 00:00:00,2021
15.3423,15419847509.992872,468816447.8059007,2021-07-03 00:00:00,2021
15.5079,15587592092.317818,433677879.5271505,2021-07-04 00:00:00,2021
16.0298,16202592095.968876,496919154.30138683,2021-07-05 00:00:00,2021
15.3189,15446939706.966547,574183925.1512223,2021-07-06 00:00:00,2021
16.0113,16110114515.520721,710889640.5946512,2021-07-07 00:00:00,2021
16.8438,16988955419.758852,1071108684.8823645,2021-07-08 00:00:00,2021
15.3804,15515383491.814346,803984948.9624517,2021-07-09 00:00:00,2021
15.7327,15876798284.279968,541920808.0654576,2021-07-10 00:00:00,2021
15.3627,15507578349.20516,420597815.0755611,2021-07-11 00:00:00,2021
15.517,15659569354.397688,344870666.6668761,2021-07-12 00:00:00,2021
14.9348,15064043256.525341,448242274.993748,2021-07-13 00:00:00,2021
14.1431,14290203246.661207,392671006.92454654,2021-07-14 00:00:00,2021
13.7978,13918632889.939701,594320913.1156065,2021-07-15 00:00:00,2021
13.0425,13164575053.977856,559591550.8491681,2021-07-16 00:00:00,2021
12.0169,12135153029.810574,552734556.6652181,2021-07-17 00:00:00,2021
12.2744,12431619895.169931,602223527.0661373,2021-07-18 00:00:00,2021
12.7728,12904733429.225042,491685992.45810634,2021-07-19 00:00:00,2021
11.539,11716868009.766188,633403592.1663936,2021-07-20 00:00:00,2021
11.0743,11192123688.695856,604314613.6823586,2021-07-21 00:00:00,2021
12.4015,12507872639.32874,943414148.436684,2021-07-22 00:00:00,2021
13.2623,13425897698.422424,855200965.5527009,2021-07-23 00:00:00,2021
